EU rejects German call to boycott British lamb .	NNP VBZ JJ NN TO VB JJ NN .
Three Afghan guards brought to the United Arab Emirates last week by Russian hostages who escaped from the Taleban militia will return to Afghanistan in a few days , the Afghan embassy in Abu Dhabi said on Thursday .	CD JJ NNS VBD TO DT NNP NNP NNP JJ NN IN JJ NNS WP VBD IN DT JJ NN MD VB TO NNP IN DT JJ NNS , DT JJ NN IN NNP NNP VBD IN NNP .
" Our ambassador is in touch with the UAE foreign ministry .	" PRP$ NN VBZ IN NN IN DT NNP JJ NN .
Their return to Afghanistan will take place in two or three days , " an embassy official said .	PRP$ NN TO NNP MD VB NN IN CD CC CD NNS , " DT NN NN VBD .
" The embassy is issuing them travel documents for their return to their homeland .	" DT NN VBZ VBG PRP VB NNS IN PRP$ NN TO PRP$ NN .
There is no objection to their travel , " he added .	EX VBZ DT NN TO PRP$ NN , " PRP VBD .
The three Islamic Taleban guards were overpowered by seven Russian aircrew who escaped to UAE state Sharjah last Friday on board their own aircraft after a year in the captivity of Taleban militia in Kandahar in southern Afghanistan .	DT CD NNP NNP NNS VBD VBN IN CD JJ NNS WP VBD TO NNP NN NNP JJ NNP IN NN PRP$ JJ NN IN DT NN IN DT NN IN JJ NN IN NNP IN JJ NNP .
The UAE said on Monday it would hand over the three to the International Red Crescent , possibly last Tuesday .	DT NNP VBD IN NNP PRP MD VB IN DT CD TO DT NNP NNP NNP , RB JJ NNP .
It has since been silent on the issue .	PRP VBZ RB VBN JJ IN DT NN .
When asked whether the three guards would travel back to Kandahar or the Afghan capital Kabul , the embassy official said : " That has not been decided , but possibly Kandahar . "	WRB VBD IN DT CD NNS MD VB RB TO NNP CC DT JJ NN NNP , DT NN NN VBD : " DT VBZ RB VBN VBN , CC RB NNP . "
Kandahar is the headquarters of the opposition Taleban militia .	NNP VBZ DT NN IN DT NN NNP NN .
Kabul is controlled by President Burhanuddin Rabbani 's government , which Taleban is fighting to overthrow .	NNP VBZ VBN IN NNP NNP NNP POS NN , WDT NNP VBZ VBG TO VB .
The embassy official said the three men , believed to be in their 20s , were currently in Abu Dhabi .	DT NN NN VBD DT CD NNS , VBD TO VB IN PRP$ CD , VBD RB IN NNP NNP .
He did not elaborate .	PRP VBD RB VB .
The Russians , working for the Aerostan firm in the Russian republic of Tatarstan , were taken hostage after a Taleban MiG-19 fighter forced their cargo plane to land in August 1995 .	DT NNPS , VBG IN DT JJ NN IN DT JJ NN IN NNP , VBD VBN NN IN DT NNP NNP NN VBD PRP$ NN NN TO VB IN NNP CD .
Taleban said its shipment of ammunition from Albania was evidence of Russian military support for Rabbani 's government .	NNP VBD PRP$ NN IN NN IN NNP VBD NN IN JJ JJ NN IN NNS POS NN .
Moscow said the crew 's nationality was coincidental .	NNP VBD DT NN POS NN VBD JJ .
Numerous diplomatic attempts to free the seven failed .	JJ JJ NNS TO JJ DT CD VBN .
The Russians , who said they overpowered the guards -- two armed with Kalashnikov automatic rifles -- while doing regular maintenance work on their Ilyushin 76 cargo plane last Friday , left the UAE capital Abu Dhabi for home on Sunday .	DT NNPS , WP VBD PRP VBD DT NNS : CD JJ IN NNP JJ NNS : IN VBG JJ NN NN IN PRP$ NNP NNP NN NN JJ NNP , VBD DT NNP NN NNP NNP IN NN IN NNP .
Iraq 's Saddam meets Russia 's Zhirinovsky .	NNP POS NNP VBZ NNP POS NNP .
BAGHDAD 1996-08-22	NNP CD
Iraqi President Saddam Hussein has told visiting Russian ultra-nationalist Vladimir Zhirinovsky that Baghdad wanted to maintain " friendship and cooperation " with Moscow , official Iraqi newspapers said on Thursday .	JJ NNP NNP NNP VBZ VBN VBG JJ NN NNP NNP IN NNP VBD TO VB " NN CC NN " IN NNP , NN JJ NNS VBD IN NNP .
" President Saddam Hussein stressed during the meeting Iraq 's keenness to maintain friendship and cooperation with Russia , " the papers said .	" NNP NNP NNP VBD IN DT NN NNP POS NN TO VB NN CC NN IN NNP , " DT NNS VBD .
They said Zhirinovsky told Saddam before he left Baghdad on Wednesday that his Liberal Democratic party and the Russian Duma ( parliament ) " are calling for an immediate lifting of the embargo " imposed on Iraq after its 1990 invasion of Kuwait .	PRP VBD NNP VBD NNP IN PRP VBD NNP IN NNP IN PRP$ JJ JJ NN CC DT NNP NNP ( NN ) " VBP VBG IN DT JJ NN IN DT NN " VBN IN NNP IN PRP$ CD NN IN NNP .
Zhirinovsky said on Tuesday he would press the Russian government to help end U.N. trade sanctions on Iraq and blamed Moscow for delaying establishment of good ties with Baghdad .	NNP VBD IN NNP PRP MD VB DT JJ NN TO VB NN NNP NN NNS IN NNP CC VBD NNP IN VBG NN IN JJ NNS IN NNP .
" Our stand is firm , namely we are calling on ( the Russian ) government to end the economic embargo on Iraq and resume trade ties between Russia and Iraq , " he told reporters .	" PRP$ NN VBZ NN , RB PRP VBP VBG IN ( DT JJ ) NN TO VB DT JJ NN IN NNP CC VB NN NNS IN NNP CC NNP , " PRP VBD NNS .
Zhirinovsky visited Iraq twice in 1995 .	NNP VBD NNP RB IN CD .
Last October he was invited to attend the referendum held on Iraq 's presidency , which extended Saddam 's term for seven more years .	JJ NNP PRP VBD VBN TO VB DT NN VBN IN NNP POS NN , WDT VBD NNP POS NN IN CD JJR NNS .
PRESS DIGEST - Iraq - Aug 22 .	NNS NNP : NNP : NNP CD .
BAGHDAD 1996-08-22	NNP CD
These are some of the leading stories in the official Iraqi press on Thursday .	DT VBP DT IN DT VBG NNS IN DT JJ JJ NN IN NNP .
Reuters has not verified these stories and does not vouch for their accuracy .	NNP VBZ RB VBN DT NNS CC VBZ RB NN IN PRP$ NN .
THAWRA	VBD
- Iraq 's President Saddam Hussein meets with chairman of the Russian liberal democratic party Vladimir Zhirinovsky .	: NNP POS NNP NNP NNP VBZ IN NN IN DT JJ NN JJ NN NNP NNP .
- Turkish foreign minister says Turkey will take part in the Baghdad trade fair that will be held in November .	: JJ JJ NN VBZ NNP MD VB NN IN DT NNP NN JJ IN MD VB VBN IN NNP .
IRAQ	NN
- A shipload of 12 tonnes of rice arrives in Umm Qasr port in the Gulf .	: DT NN IN CD NNS IN NN VBZ IN UH NNP NN IN DT NNP .
PRESS DIGEST - Lebanon - Aug 22 .	NNS NNP : NNP : NNP CD .
BEIRUT 1996-08-22	IN CD
These are the leading stories in the Beirut press on Thursday .	DT VBP DT VBG NNS IN DT NNP NN IN NNP .
Reuters has not verified these stories and does not vouch for their accuracy .	NNP VBZ RB VBN DT NNS CC VBZ RB NN IN PRP$ NN .
AN-NAHAR	NNP
- Confrontation is escalating between Hizbollah and the government .	: NN VBZ VBG IN NNP CC DT NN .
- Prime Minister Hariri : Israeli threats do no serve peace .	: NNP NNP NNP : JJ NNS VBP DT JJ NN .
AS-SAFIR	NNP
- Parliament Speaker Berri : Israel is preparing for war against Syria and Lebanon .	: NNP NNP NNP : NNP VBZ VBG IN NN IN NNP CC NNP .
- Parliamentary battle in Beirut ..	: JJ NN IN NNP NNS
The three main lists have been prepared .	DT CD JJ NNS VBP VBN VBN .
AL-ANWAR	NN
- Continued criticism of law violation incidents -- which occurred in the Mount Lebanon elections last Sunday .	: JJ NN IN NN NN NNS : WDT VBD IN DT NNP NNP NNS JJ NNP .
AD-DIYAR	NN
- Financial negotiations between Lebanon and Pakistan .	: NNP NNS IN NNP CC NNP .
- Hariri to step into the election battle with an incomplete list .	: NNP TO VB IN DT NN NN IN DT JJ NN .
NIDA'A AL-WATAN	NNP JJ
- Maronite Patriarch Sfeir expressed sorrow over the violations in Sunday ' elections .	: NNP NNP NNP VBD NN IN DT NNS IN NNP POS NNS .
CME live and feeder cattle calls range mixed .	NNP VB CC NN NNS VBZ NN JJ .
CHICAGO 1996-08-22	NNP CD
Early calls on CME live and feeder cattle futures ranged from 0.200 cent higher to 0.100 lower , livestock analysts said .	RB NNS IN NNP VB CC JJR NNS NNS VBD IN CD NN RBR TO CD JJR , NN NNS VBD .
The continued strong tone to cash cattle and beef markets should prompt further support .	DT VBN JJ NN TO NN NNS CC NN NNS MD VB JJ NN .
Outlook for a bullish cattle-on-feed report is also expected to lend support and prompt some bull spreading , analysts said .	NN IN DT JJ JJ NN VBZ RB VBN TO VB NN CC VB DT NN VBG , NNS VBD .
However , trade will likely be light and prices could drift on evening up ahead of the report .	RB , NN MD RB VB JJ CC NNS MD VB IN NN IN RB IN DT NN .
Cash markets are also expected to be quiet after the record amount of feedlot cattle traded this week , they said .	NN NNS VBP RB VBN TO VB JJ IN DT NN NN IN NN NNS VBN DT NN , PRP VBD .
Kindercare says debt buy to hit Q1 results .	NNP VBZ NN VB TO VB CD NNS .
MONTGOMERY , Ala .	NNP , NNP .
1996-08-22	CD
KinderCare Learning Centers Inc said on Thursday that a debt buyback would mean an extraordinary loss of $ 1.2 million in its fiscal 1997 first quarter .	NNP NNP NNPS NNP VBD IN NNP IN DT NN NN MD VB DT JJ NN IN $ CD CD IN PRP$ JJ CD JJ NN .
The company said that during the quarter , which began June 1 , it bought $ 30 million par value of its outstanding 10-3/8 percent senior notes due 2001 .	DT NN VBD IN IN DT NN , WDT VBD NNP CD , PRP VBD $ CD CD NN NN IN PRP$ JJ CD NN JJ NNS JJ CD .
The notes were bought for $ 31.5 million .	DT NNS VBD VBN IN $ CD CD .
Philip Maslowe , chief financial officer of the preschool and child care company , said the buyback " offered an opportunity to reduce the company 's weighted average interest costs and improve future cash flows and earnings . "	NNP NNP , JJ JJ NN IN DT JJ CC NN NN NN , VBD DT JJ " VBN DT NN TO VB DT NN POS JJ JJ NN NNS CC VB JJ NN NNS CC NNS . "
RESEARCH ALERT - Lehman starts SNET .	NNP NNP : NNP VBZ NNP .
-- Lehman analyst Blake Bath started Southern New England Telecommunciations Corp with an outperform rating , his office said .	: NNP NN NNP NNP VBD NNP NNP NNP NNP NNP IN DT VB NN , PRP$ NN VBD .
-- The analyst set a 12-month price target of $ 45 and a fiscal 1996 year earnings estimate of $ 3.09 per share , his office said .	: DT NN VBD DT JJ NN NN IN $ CD CC DT JJ CD NN NNS VBP IN $ CD IN NN , PRP$ NN VBD .
-- The analyst also set an earnings estimate for the 1997 year , but the figure was not immediately available .	: DT NN RB VBN DT NNS NN IN DT CD NN , CC DT NN VBD RB RB JJ .
-- Southern New England closed at 38-1/2 Wednesday .	: NNP NNP NNP VBD IN CD NNP .
-- E. Auchard , Wall Street bureau , 212-859-1736	: NNP NNP , NNP NNP NN , CD
Gateway Data Sciences Q2 net rises .	NNP NNPS NNPS NNP JJ NNS .
PHOENIX 1996-08-22	NNP CD
Summary of Consolidated Financial Data	NNP IN NNP NNP NNP
( In Thousands , except per share data )	( IN NNS , IN IN NN NNS )
Six Months Ended Quarter Ended	CD NNS VBN NNP NN
Jul 31 , Jul 31 , Jul 31 , Jul 31 ,	JJ CD , NNP CD , NNP CD , NNP CD ,
1996 1995 1996 1995	CD CD CD CD
Income Statement Data :	NNP NNP NNPS :
Total Revenue $ 10,756 $ 13,102 $ 7,961 $ 5,507	JJ NN $ CD $ CD $ CD $ CD
Software Revenue 2,383 1,558 1,086 1,074	NNP NN CD CD CD CD
Services Revenue 1,154 692 624 465	NNPS NNP CD CD CD CD
Operating Income 906 962 599 515	NN NN CD CD CD CD
Net Income 821 512 565 301	JJ NNP CD CD CD CD
Earnings Per Share 0.31 0.34 0.19 0.20	NNS IN NN CD CD CD CD
Jul 31 , 1996 Jan 31 , 1996	JJ CD , CD NNP CD , CD
Balance Sheet Data :	NNP NNP NNPS :
Working Capital $ 5,755 ( $ 881 )	NNP NNP $ CD ( $ CD )
Cash and Cash Equivalents 2,386 93	NN CC NNP NNS CD CD
Total Assets 14,196 7,138	JJ NNS CD CD
Shareholders ' Equity 5,951 ( 1,461 )	NNS POS NNP CD ( CD )
Greek socialists give PM green light for election .	JJ NNS VBP NNP JJ NN IN NN .
ATHENS 1996-08-22	NNS CD
The Greek socialist party 's executive bureau gave Prime Minister Costas Simitis its backing if he chooses to call snap elections , its general secretary Costas Skandalidis told reporters on Thursday .	DT NNP JJ NN POS JJ NN VBD NNP NNP VBZ NNP PRP$ VBG IN PRP VBZ TO VB VB NNS , PRP$ JJ NN NNP NNP VBD NNS IN NNP .
Prime Minister Costas Simitis will make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .	NNP NNP VBZ NNPS MD VB DT JJ NN IN DT NN NN RB IN NNP , VBD NNP .
-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4	: NNP NNP , NNP NNP NNP CD
PRESS DIGEST - France - Le Monde Aug 22 .	NNS NNP : NNP : NNP NNP NNP CD .
PARIS 1996-08-22	NNP CD
These are leading stories in Thursday 's afternoon daily Le Monde , dated Aug 23 .	DT VBP JJ NNS IN NNP POS NN JJ NNP NNP , VBN NNP CD .
FRONT PAGE	NNP NNP
-- Africans seeking to renew or obtain work and residence rights say Prime Minister Alain Juppe 's proposals are insufficient as hunger strike enters 49th day in Paris church and Wednesday rally attracts 8,000 sympathisers .	: NNPS VBG TO VB CC VB NN CC NN NNS VBP NNP NNP NNP NNP POS NNS VBP JJ IN NN NN VBZ JJ NN IN NNP NN CC NNP NN VBZ CD NNS .
-- FLNC Corsican nationalist movement announces end of truce after last night 's attacks .	: NNP NNP JJ NN VBZ NN IN NN IN JJ NN POS NNS .
BUSINESS PAGES	NNP NNP
-- Shutdown of Bally 's French factories points up shoe industry crisis , with French manufacturers undercut by low-wage country competition and failure to keep abreast of trends .	: VBN IN NNP POS JJ NNS NNS RP NN NN NN , IN JJ NNS VB IN NN NN NN CC NN TO VB RB IN NNS .
-- Secretary general of the Sud-PTT trade union at France Telecom all the elements are in place for social unrest in the next few weeks .	: NNP JJ IN DT NNP NN NN IN NNP NNP PDT DT NNS VBP IN NN IN JJ NN IN DT JJ JJ NNS .
-- Paris Newsroom +33 1 42 21 53 81	: NNP NNP CD CD CD CD CD CD
Well repairs to lift Heidrun oil output - Statoil .	RB NNS TO VB NNP NN NN : NNP .
OSLO 1996-08-22	NNP CD
Three plugged water injection wells on the Heidrun oilfield off mid-Norway will be reopened over the next month , operator Den Norske Stats Oljeselskap AS ( Statoil ) said on Thursday .	CD JJ NN NN NNS IN DT JJ NN IN JJ NN VB VBN IN DT JJ NN , NN NNP NNP NNP NNP NNP ( NNP ) VBD IN NNP .
The plugged wells have accounted for a dip of 30,000 barrels per day ( bpd ) in Heidrun output to roughly 220,000 bpd , according to the company 's Status Weekly newsletter .	DT VBD NNS VBP VBN IN DT NN IN CD NNS IN NN ( NN ) IN JJ NN TO RB CD VBN , VBG TO DT NN POS NNP NNP NN .
The wells will be reperforated and gravel will be pumped into the reservoir through one of the wells to avoid plugging problems in the future , it said .	DT NNS MD VB VBN CC NN MD VB VBN IN DT NN IN CD IN DT NNS TO VB VBG NNS IN DT NN , PRP VBD .
-- Oslo newsroom +47 22 42 50 41	: NN NN CD CD CD CD CD
Finnish April trade surplus 3.8 billion markka - NCB .	JJ NNP NN NN CD CD NNS : NNP .
HELSINKI 1996-08-22	NNP CD
Finland 's trade surplus rose to 3.83 billion markka in April from 3.43 billion in March , the National Customs Board ( NCB ) said in a statement on Thursday .	NN POS NN NN VBD TO CD CD NNS IN NNP IN CD CD IN NNP , DT NNP NNP NNP ( NNP ) VBD IN DT NN IN NNP .
The value of exports fell one percent year-on-year in April and the value of imports fell two percent , NCB said .	DT NN IN NNS VBD CD NN NN IN NNP CC DT NN IN NNS VBD CD NN , NNP VBD .
Trade balance ( million markka ) :	NN NN ( CD NNS ) :
April ' 96 March ' 96 Jan-April ' 96 Jan-April ' 95	NNP POS CD NNP POS CD JJ '' CD JJ '' CD
Imports 10,663 10,725 43,430 40,989	NNS CD CD CD CD
Exports 14,494 14,153 56,126 56,261	NNS CD CD CD CD
Balance +3,831 +3,428 +12,696 +15,272	NNP CD CD CD CD
The January-April 1995 import figure was revised from 39,584 million markka and the export figure from 55,627 million markka .	DT NNP CD NN NN VBD VBN IN CD CD NNS CC DT NN NN IN CD CD NNS .
The Bank of Finland earlier estimated the April trade surplus at 3.2 billion markka with exports projected at 14.5 billion and imports at 11.3 billion .	DT NNP IN NNP RBR VBN DT NNP NN NN IN CD CD NNS IN NNS VBN IN CD CD CC NNS IN CD CD .
The NCB 's official monthly trade statistics are lagging behind due to changes in customs procedures when Finland joined the European Union at the start of 1995 .	DT NNP POS NN RB VBP NNS VBP VBG IN JJ TO NNS IN NNS NNS WRB NNP VBD DT NNP NNP IN DT NN IN CD .
-- Helsinki Newsroom +358 - 0 - 680 50 245	: NNP NNP CD : CD : CD CD CD
Dutch state raises tap sale price to 99.95 .	JJ NN VBZ NN NN NN TO CD .
AMSTERDAM 1996-08-22	NN CD
The Finance Ministry raised the price for tap sales of the Dutch government 's new 5.75 percent bond due September 2002 to 99.95 from 99.90 .	DT NNP NNP VBD DT NN IN NN NNS IN DT JJ NN POS JJ CD NN NN JJ NNP CD TO CD IN CD .
Tap sales began on Monday and are being held daily from 07.00 GMT to 15.00 GMT until further notice .	VB NNS VBD IN NNP CC VBP VBG VBN RB IN CD NNP TO CD NNP IN JJ NN .
The ministry had raised 2.3 billion guilders from sales of the new bond by the close of trade on Wednesday .	DT NN VBD VBN CD CD NNS IN NNS IN DT JJ NN IN DT NN IN NN IN NNP .
-- Amsterdam newsroom +31 20 504 5000	: NN NN CD CD CD CD
German farm ministry tells consumers to avoid British mutton .	JJ NN NN VBZ NNS TO VB JJ NN .
BONN 1996-08-22	NN CD
Germany 's Agriculture Ministry suggested on Wednesday that consumers avoid eating meat from British sheep until scientists determine whether mad cow disease can be transmitted to the animals .	NNP POS NNP NNP VBD IN NNP WDT NNS VB VBG NN IN JJ NN IN NNS VBP IN JJ NN NN MD VB VBN TO DT NNS .
" Until this is cleared up by the European Union 's scientific panels -- and we have asked this to be done as quickly as possible -- ( consumers ) should if at all possible give preference to sheepmeat from other countries , " ministry official Werner Zwingmann told ZDF television .	" IN DT VBZ VBN RP IN DT NNP NNP POS JJ NNS : CC PRP VBP VBN DT TO VB VBN RB RB IN JJ : ( NNS ) MD IN IN DT JJ VBP NN TO VB IN JJ NNS , " NN NN NNP NNP VBD NNP NN .
" I do not want to say that there is a concrete danger for consumers , " he added . "	" PRP VBP RB VB TO VB IN EX VBZ DT JJ NN IN NNS , " PRP VBD . "
There are too many holes in what we know , and these must be filled very quickly . "	EX VBP RB JJ NNS IN WP PRP VBP , CC DT MD VB VBN RB RB . "
Bonn has led efforts to ensure consumer protection tops the list of priorities in dealing with the mad cow crisis , which erupted in March when Britain acknowledged humans could contract a similar illness by eating contaminated beef .	NNP VBZ VBN NNS TO VB NN NN VBZ DT NN IN NNS IN VBG IN DT JJ NN NN , WDT VBD IN NNP WRB NNP VBD NNS MD VB DT JJ NN IN VBG VBN NN .
The European Commission agreed this month to rethink a proposal to ban the use of suspect sheep tissue after some EU veterinary experts questioned whether it was justified .	DT NNP NNP VBD DT NN TO VB DT NN TO VB DT NN IN VBP NN NN IN DT NNP JJ NNS VBD IN PRP VBD VBN .
EU Farm Commissioner Franz Fischler had proposed banning sheep brains , spleens and spinal cords from the human and animal food chains after reports from Britain and France that under laboratory conditions sheep could contract Bovine Spongiform Encephalopathy ( BSE ) -- mad cow disease .	NNP NNP NNP NNP NNP VBD VBN VBG NN NNS , NNS CC JJ NNS IN DT NN CC NN NN NNS IN NNS IN NNP CC NNP WDT IN NN NNS NN MD VB NNP NNP NNP ( NNP ) : JJ NN NN .
